------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZSCCAS09BHW	98.326	97.881	98.085	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZVOLTEAS04BHW	98.059	97.281	97.623	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZVOLTEAS09BHW	98.415	97.336	97.827	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZSCCAS04BHW	97.824	97.466	97.62	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZSCCAS09BHW	98.253	97.779	97.993	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZVOLTEAS04BHW	97.997	97.269	97.58	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZVOLTEAS09BHW	98.242	97.211	97.675	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZSCCAS04BHW	97.761	97.28	97.484	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZSCCAS09BHW	98.286	97.87	98.057	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZVOLTEAS04BHW	97.777	97.099	97.385	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZVOLTEAS09BHW	98.345	97.317	97.776	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZSCCAS04BHW	97.841	97.282	97.516	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZSCCAS09BHW	98.252	97.729	97.962	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZVOLTEAS04BHW	97.915	97.154	97.471	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZVOLTEAS09BHW	98.255	97.246	97.693	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZSCCAS04BHW	97.84	97.243	97.492	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZSCCAS09BHW	98.379	97.678	97.986	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZVOLTEAS04BHW	97.747	97.089	97.362	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZVOLTEAS09BHW	98.299	97.318	97.748	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZSCCAS04BHW	97.889	97.27	97.528	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZSCCAS09BHW	98.34	97.807	98.043	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZVOLTEAS04BHW	97.861	96.951	97.33	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZVOLTEAS09BHW	98.4	97.34	97.808	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZSCCAS04BHW	97.821	97.338	97.539	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZSCCAS09BHW	98.309	97.73	97.986	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZVOLTEAS04BHW	97.877	97.239	97.504	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZVOLTEAS09BHW	98.306	97.25	97.716	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZSCCAS04BHW	97.938	97.303	97.568	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZSCCAS09BHW	98.307	97.902	98.082	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZVOLTEAS04BHW	97.891	97.146	97.459	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZVOLTEAS09BHW	98.409	97.326	97.804	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZSCCAS04BHW	97.893	97.366	97.587	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZSCCAS09BHW	98.295	97.884	98.066	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZVOLTEAS04BHW	97.88	97.246	97.511	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZVOLTEAS09BHW	98.442	97.381	97.849	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZSCCAS04BHW	97.867	97.396	97.594	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZSCCAS09BHW	98.314	97.897	98.083	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZVOLTEAS04BHW	98.013	97.296	97.598	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZVOLTEAS09BHW	98.499	97.444	97.911	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZSCCAS04BHW	97.82	97.318	97.53	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZSCCAS09BHW	98.338	97.719	97.994	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZVOLTEAS04BHW	97.957	97.106	97.465	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZVOLTEAS09BHW	98.415	97.329	97.81	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZSCCAS04BHW	97.864	97.336	97.559	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZSCCAS09BHW	98.328	97.714	97.988	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZVOLTEAS04BHW	97.981	97.133	97.491	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZVOLTEAS09BHW	98.392	97.28	97.774	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZSCCAS04BHW	97.855	97.319	97.546	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZSCCAS09BHW	98.363	97.733	98.015	
