------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/20 21:15:00	2017/12/20 21:30:00	HZPSBC13BHW	91.436	
2017/12/20 21:15:00	2017/12/20 21:30:00	HZPSBC14BHW	91.394	
2017/12/20 21:30:00	2017/12/20 21:45:00	HZPSBC13BHW	91.257	
2017/12/20 21:30:00	2017/12/20 21:45:00	HZPSBC14BHW	91.162	
2017/12/20 21:45:00	2017/12/20 22:00:00	HZPSBC13BHW	91.074	
2017/12/20 21:45:00	2017/12/20 22:00:00	HZPSBC14BHW	91.083	
2017/12/20 22:00:00	2017/12/20 22:15:00	HZPSBC13BHW	91.018	
2017/12/20 22:00:00	2017/12/20 22:15:00	HZPSBC14BHW	91.005	
2017/12/20 22:15:00	2017/12/20 22:30:00	HZPSBC13BHW	90.866	
2017/12/20 22:15:00	2017/12/20 22:30:00	HZPSBC14BHW	90.671	
2017/12/20 22:30:00	2017/12/20 22:45:00	HZPSBC13BHW	90.774	
2017/12/20 22:30:00	2017/12/20 22:45:00	HZPSBC14BHW	90.158	
2017/12/20 22:45:00	2017/12/20 23:00:00	HZPSBC13BHW	90.875	
2017/12/20 22:45:00	2017/12/20 23:00:00	HZPSBC14BHW	90.514	
2017/12/20 23:00:00	2017/12/20 23:15:00	HZPSBC13BHW	90.159	
2017/12/20 23:00:00	2017/12/20 23:15:00	HZPSBC14BHW	90.21	
2017/12/20 23:15:00	2017/12/20 23:30:00	HZPSBC13BHW	90.753	
2017/12/20 23:15:00	2017/12/20 23:30:00	HZPSBC14BHW	90.626	
2017/12/20 23:30:00	2017/12/20 23:45:00	HZPSBC13BHW	90.665	
2017/12/20 23:30:00	2017/12/20 23:45:00	HZPSBC14BHW	90.092	
2017/12/20 23:45:00	2017/12/21 0:00:00	HZPSBC13BHW	89.953	
2017/12/20 23:45:00	2017/12/21 0:00:00	HZPSBC14BHW	90.242	
2017/12/21 0:00:00	2017/12/21 0:15:00	HZPSBC13BHW	90.159	
2017/12/21 0:00:00	2017/12/21 0:15:00	HZPSBC14BHW	89.892	
2017/12/21 0:15:00	2017/12/21 0:30:00	HZPSBC13BHW	90.011	
2017/12/21 0:15:00	2017/12/21 0:30:00	HZPSBC14BHW	89.728	
2017/12/21 0:30:00	2017/12/21 0:45:00	HZPSBC13BHW	89.7	
2017/12/21 0:30:00	2017/12/21 0:45:00	HZPSBC14BHW	89.794	
2017/12/21 0:45:00	2017/12/21 1:00:00	HZPSBC13BHW	89.647	
2017/12/21 0:45:00	2017/12/21 1:00:00	HZPSBC14BHW	89.967	
2017/12/21 1:00:00	2017/12/21 1:15:00	HZPSBC13BHW	90.091	
2017/12/21 1:00:00	2017/12/21 1:15:00	HZPSBC14BHW	89.418	
2017/12/21 1:15:00	2017/12/21 1:30:00	HZPSBC13BHW	90.399	
2017/12/21 1:15:00	2017/12/21 1:30:00	HZPSBC14BHW	89.186	
2017/12/21 1:30:00	2017/12/21 1:45:00	HZPSBC13BHW	90.207	
2017/12/21 1:30:00	2017/12/21 1:45:00	HZPSBC14BHW	88.493	
2017/12/21 1:45:00	2017/12/21 2:00:00	HZPSBC13BHW	89.946	
2017/12/21 1:45:00	2017/12/21 2:00:00	HZPSBC14BHW	88.403	
2017/12/21 2:00:00	2017/12/21 2:15:00	HZPSBC13BHW	89.311	
2017/12/21 2:00:00	2017/12/21 2:15:00	HZPSBC14BHW	88.973	
2017/12/21 2:15:00	2017/12/21 2:30:00	HZPSBC13BHW	90.022	
2017/12/21 2:15:00	2017/12/21 2:30:00	HZPSBC14BHW	89.273	
2017/12/21 2:30:00	2017/12/21 2:45:00	HZPSBC13BHW	89.451	
2017/12/21 2:30:00	2017/12/21 2:45:00	HZPSBC14BHW	89.952	
2017/12/21 2:45:00	2017/12/21 3:00:00	HZPSBC13BHW	88.936	
2017/12/21 2:45:00	2017/12/21 3:00:00	HZPSBC14BHW	88.273	
2017/12/21 3:00:00	2017/12/21 3:15:00	HZPSBC13BHW	88.76	
2017/12/21 3:00:00	2017/12/21 3:15:00	HZPSBC14BHW	89.053	
2017/12/21 3:15:00	2017/12/21 3:30:00	HZPSBC13BHW	89.839	
2017/12/21 3:15:00	2017/12/21 3:30:00	HZPSBC14BHW	89.806	
2017/12/21 3:30:00	2017/12/21 3:45:00	HZPSBC13BHW	89.339	
2017/12/21 3:30:00	2017/12/21 3:45:00	HZPSBC14BHW	89.26	
2017/12/21 3:45:00	2017/12/21 4:00:00	HZPSBC13BHW	88.817	
2017/12/21 3:45:00	2017/12/21 4:00:00	HZPSBC14BHW	89.434	
2017/12/21 4:00:00	2017/12/21 4:15:00	HZPSBC13BHW	89.378	
2017/12/21 4:00:00	2017/12/21 4:15:00	HZPSBC14BHW	88.533	
2017/12/21 4:15:00	2017/12/21 4:30:00	HZPSBC13BHW	89.171	
2017/12/21 4:15:00	2017/12/21 4:30:00	HZPSBC14BHW	90.621	
2017/12/21 4:30:00	2017/12/21 4:45:00	HZPSBC13BHW	90.025	
2017/12/21 4:30:00	2017/12/21 4:45:00	HZPSBC14BHW	88.585	
2017/12/21 4:45:00	2017/12/21 5:00:00	HZPSBC13BHW	90.054	
2017/12/21 4:45:00	2017/12/21 5:00:00	HZPSBC14BHW	89.116	
2017/12/21 5:00:00	2017/12/21 5:15:00	HZPSBC13BHW	89.335	
2017/12/21 5:00:00	2017/12/21 5:15:00	HZPSBC14BHW	89.451	
2017/12/21 5:15:00	2017/12/21 5:30:00	HZPSBC13BHW	90.593	
2017/12/21 5:15:00	2017/12/21 5:30:00	HZPSBC14BHW	89.444	
2017/12/21 5:30:00	2017/12/21 5:45:00	HZPSBC13BHW	91.364	
2017/12/21 5:30:00	2017/12/21 5:45:00	HZPSBC14BHW	90.261	
2017/12/21 5:45:00	2017/12/21 6:00:00	HZPSBC13BHW	91.327	
2017/12/21 5:45:00	2017/12/21 6:00:00	HZPSBC14BHW	89.958	
2017/12/21 6:00:00	2017/12/21 6:15:00	HZPSBC13BHW	92.108	
2017/12/21 6:00:00	2017/12/21 6:15:00	HZPSBC14BHW	91.064	
2017/12/21 6:15:00	2017/12/21 6:30:00	HZPSBC13BHW	91.826	
2017/12/21 6:15:00	2017/12/21 6:30:00	HZPSBC14BHW	91.606	
2017/12/21 6:30:00	2017/12/21 6:45:00	HZPSBC13BHW	92.332	
2017/12/21 6:30:00	2017/12/21 6:45:00	HZPSBC14BHW	92.121	
2017/12/21 6:45:00	2017/12/21 7:00:00	HZPSBC13BHW	92.423	
2017/12/21 6:45:00	2017/12/21 7:00:00	HZPSBC14BHW	92.368	
2017/12/21 7:00:00	2017/12/21 7:15:00	HZPSBC13BHW	92.594	
2017/12/21 7:00:00	2017/12/21 7:15:00	HZPSBC14BHW	92.977	
2017/12/21 7:15:00	2017/12/21 7:30:00	HZPSBC13BHW	92.38	
2017/12/21 7:15:00	2017/12/21 7:30:00	HZPSBC14BHW	92.536	
2017/12/21 7:30:00	2017/12/21 7:45:00	HZPSBC13BHW	92.559	
2017/12/21 7:30:00	2017/12/21 7:45:00	HZPSBC14BHW	92.375	
